"Line Code","Direction","Station Code","Station ID","Chinese Name","English Name","Sequence"
"ISL","DT","SHW","26","上環","Sheung Wan",14.00
"ISL","DT","SYP","81","西營盤","Sai Ying Pun",15.00
"ISL","DT","HKU","82","香港大學","HKU",16.00
"ISL","DT","KET","83","堅尼地城","Kennedy Town",17.00
"KTL","DT","TIK","49","調景嶺","Tiu Keng Leng",1.00
"KTL","DT","YAT","48","油塘","Yau Tong",2.00
"KTL","DT","LAT","38","藍田","Lam Tin",3.00
"KTL","DT","KWT","15","觀塘","Kwun Tong",4.00
"KTL","DT","NTK","14","牛頭角","Ngau Tau Kok",5.00
"KTL","DT","KOB","13","九龍灣","Kowloon Bay",6.00
"KTL","DT","CHH","12","彩虹","Choi Hung",7.00
"KTL","DT","DIH","11","鑽石山","Diamond Hill",8.00
"KTL","DT","WTS","10","黃大仙","Wong Tai Sin",9.00
"KTL","DT","LOF","9","樂富","Lok Fu",10.00
"KTL","DT","KOT","8","九龍塘","Kowloon Tong",11.00
"KTL","DT","SKM","7","石硤尾","Shek Kip Mei",12.00
"KTL","DT","PRE","16","太子","Prince Edward",13.00
"KTL","DT","MOK","6","旺角","Mong Kok",14.00
"KTL","DT","YMT","5","油麻地","Yau Ma Tei",15.00
"KTL","DT","HOM","84","何文田","Ho Man Tin",16.00
"KTL","DT","WHA","85","黃埔","Whampoa",17.00
"TML","DT","TUM","120","屯門","Tuen Mun",1.00
"TML","DT","SIH","119","兆康","Siu Hong",2.00
"TML","DT","TIS","118","天水圍","Tin Shui Wai",3.00
"TML","DT","LOP","117","朗屏","Long Ping",4.00
"TML","DT","YUL","116","元朗","Yuen Long",5.00
"TML","DT","KSR","115","錦上路","Kam Sheung Road",6.00
"TML","DT","TWW","114","荃灣西","Tsuen Wan West",7.00
"TML","DT","MEF","20","美孚","Mei Foo",8.00
"TML","DT","NAC","53","南昌","Nam Cheong",9.00
"TML","DT","AUS","111","柯士甸","Austin",10.00
"TML","DT","ETS","80","尖東","East Tsim Sha Tsui",11.00
"TML","DT","HUH","64","紅磡","Hung Hom",12.00
"TML","DT","HOM","84","何文田","Ho Man Tin",13.00
"TML","DT","TKW","93","土瓜灣","To Kwa Wan",14.00
"TML","DT","SUW","92","宋皇臺","Sung Wong Toi",15.00
"TML","DT","KAT","91","啟德","Kai Tak",16.00
"TML","DT","DIH","11","鑽石山","Diamond Hill",17.00
"TML","DT","HIK","90","顯徑","Hin Keng",18.00
"TML","DT","TAW","67","大圍","Tai Wai",19.00
"TML","DT","CKT","96","車公廟","Che Kung Temple",20.00
"TML","DT","STW","97","沙田圍","Sha Tin Wai",21.00
"TML","DT","CIO","98","第一城","City One",22.00
"TML","DT","SHM","99","石門","Shek Mun",23.00
"TML","DT","TSH","100","大水坑","Tai Shui Hang",24.00
"TML","DT","HEO","101","恆安","Heng On",25.00
"TML","DT","MOS","102","馬鞍山","Ma On Shan",26.00
"TML","DT","WKS","103","烏溪沙","Wu Kai Sha",27.00
"TCL","DT","TUC","43","東涌","Tung Chung",1.00
"TCL","DT","SUN","54","欣澳","Sunny Bay",2.00
"TCL","DT","TSY","42","青衣","Tsing Yi",3.00
"TCL","DT","LAK","21","茘景","Lai King",4.00
"TCL","DT","NAC","53","南昌","Nam Cheong",5.00
"TCL","DT","OLY","41","奧運","Olympic",6.00
"TCL","DT","KOW","40","九龍","Kowloon",7.00
"TCL","DT","HOK","39","香港","Hong Kong",8.00
"TKL","LHP-DT","LHP","57","康城","LOHAS Park",1.00
"TKL","DT","POA","52","寶琳","Po Lam",1.00
"TKL","DT","HAH","51","坑口","Hang Hau",2.00
"TKL","DT","TKO","50","將軍澳","Tseung Kwan O",3.00
"TKL","DT","TIK","49","調景嶺","Tiu Keng Leng",4.00
"TKL","DT","YAT","48","油塘","Yau Tong",5.00
"TKL","DT","QUB","32","鰂魚涌","Quarry Bay",6.00
"TKL","DT","NOP","31","北角","North Point",7.00
"TWL","DT","TSW","25","荃灣","Tsuen Wan",1.00
"TWL","DT","TWH","24","大窩口","Tai Wo Hau",2.00
"TWL","DT","KWH","23","葵興","Kwai Hing",3.00
"TWL","DT","KWF","22","葵芳","Kwai Fong",4.00
"TWL","DT","LAK","21","茘景","Lai King",5.00
"TWL","DT","MEF","20","美孚","Mei Foo",6.00
"TWL","DT","LCK","19","茘枝角","Lai Chi Kok",7.00
"TWL","DT","CSW","18","長沙灣","Cheung Sha Wan",8.00
"TWL","DT","SSP","17","深水埗","Sham Shui Po",9.00
"TWL","DT","PRE","16","太子","Prince Edward",10.00
"TWL","DT","MOK","6","旺角","Mong Kok",11.00
"TWL","DT","YMT","5","油麻地","Yau Ma Tei",12.00
"TWL","DT","JOR","4","佐敦","Jordan",13.00
"TWL","DT","TST","3","尖沙咀","Tsim Sha Tsui",14.00
"TWL","DT","ADM","2","金鐘","Admiralty",15.00
"TWL","DT","CEN","1","中環","Central",16.00
"SIL","DT","SOH","89","海怡半島","South Horizons",1.00
"SIL","DT","LET","88","利東","Lei Tung",2.00
"SIL","DT","WCH","87","黃竹坑","Wong Chuk Hang",3.00
"SIL","DT","OCP","86","海洋公園","Ocean Park",4.00
"SIL","DT","ADM","2","金鐘","Admiralty",5.00
